classification_type,glcm_feature,additional_feature,criterion,max_depth,min_samples_leaf,min_samples_split,max_no_of_rois
cancer_invasion,dissimilarity,,gini,3,1,2,10
cancer_stage,dissimilarity,,entropy,7,1,4,10
early_vs_late_stage,dissimilarity,,gini,3,1,2,10
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,10
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,1,11,2,10
cancer_stage,dissimilarity,average_best_absolute_distance_results,gini,4,1,2,10
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,3,1,8,10
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,gini,3,11,2,10
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,4,7,2,10
cancer_stage,dissimilarity,average_generation_absolute_distance_results,entropy,8,1,4,10
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,gini,3,1,8,10
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,2,1,2,10
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,gini,4,5,12,10
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,7,1,2,10
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,2,1,2,10
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,3,11,2,10
cancer_invasion,dissimilarity,,gini,3,1,2,20
cancer_stage,dissimilarity,,entropy,7,1,4,20
early_vs_late_stage,dissimilarity,,gini,3,1,2,20
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,20
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,6,3,8,20
cancer_stage,dissimilarity,average_best_absolute_distance_results,entropy,9,1,2,20
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,gini,3,1,4,20
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,1,19,2,20
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,6,3,10,20
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,8,1,6,20
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,1,9,2,20
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,7,5,12,20
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,entropy,9,1,16,20
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,8,1,6,20
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,1,13,2,20
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,2,17,2,20
cancer_invasion,dissimilarity,,gini,3,1,2,30
cancer_stage,dissimilarity,,entropy,7,1,4,30
early_vs_late_stage,dissimilarity,,gini,3,1,2,30
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,30
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,1,17,2,30
cancer_stage,dissimilarity,average_best_absolute_distance_results,entropy,3,5,2,30
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,1,7,2,30
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,2,3,2,30
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,3,1,2,30
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,6,3,12,30
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,1,13,2,30
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,8,1,4,30
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,gini,5,3,12,30
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,7,3,2,30
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,gini,9,1,2,30
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,3,11,2,30
cancer_invasion,dissimilarity,,gini,3,1,2,40
cancer_stage,dissimilarity,,entropy,7,1,4,40
early_vs_late_stage,dissimilarity,,gini,3,1,2,40
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,40
cancer_invasion,dissimilarity,average_best_absolute_distance_results,gini,8,1,4,40
cancer_stage,dissimilarity,average_best_absolute_distance_results,gini,9,1,8,40
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,1,7,2,40
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,3,3,2,40
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,9,3,2,40
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,5,3,8,40
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,2,1,12,40
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,entropy,3,7,16,40
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,entropy,1,7,2,40
cancer_stage,dissimilarity,average_mean_absolute_distance_results,entropy,5,1,4,40
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,8,1,2,40
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,6,7,2,40
cancer_invasion,dissimilarity,,gini,3,1,2,50
cancer_stage,dissimilarity,,entropy,7,1,4,50
early_vs_late_stage,dissimilarity,,gini,3,1,2,50
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,50
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,9,1,14,50
cancer_stage,dissimilarity,average_best_absolute_distance_results,gini,8,1,12,50
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,3,5,2,50
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,7,1,4,50
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,1,19,2,50
cancer_stage,dissimilarity,average_generation_absolute_distance_results,entropy,5,5,2,50
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,3,7,2,50
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,entropy,5,5,12,50
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,entropy,4,1,2,50
cancer_stage,dissimilarity,average_mean_absolute_distance_results,entropy,8,1,2,50
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,7,1,2,50
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,2,13,2,50
cancer_invasion,correlation,,gini,2,3,2,10
cancer_stage,correlation,,entropy,5,7,2,10
early_vs_late_stage,correlation,,entropy,8,3,8,10
ptc_vs_mibc,correlation,,entropy,5,7,18,10
cancer_invasion,correlation,average_best_absolute_distance_results,entropy,1,9,2,10
cancer_stage,correlation,average_best_absolute_distance_results,gini,7,1,8,10
early_vs_late_stage,correlation,average_best_absolute_distance_results,entropy,5,7,2,10
ptc_vs_mibc,correlation,average_best_absolute_distance_results,entropy,3,5,2,10
cancer_invasion,correlation,average_generation_absolute_distance_results,gini,8,1,4,10
cancer_stage,correlation,average_generation_absolute_distance_results,entropy,3,3,8,10
early_vs_late_stage,correlation,average_generation_absolute_distance_results,entropy,7,3,2,10
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,entropy,1,11,2,10
cancer_invasion,correlation,average_mean_absolute_distance_results,gini,7,3,2,10
cancer_stage,correlation,average_mean_absolute_distance_results,entropy,5,3,10,10
early_vs_late_stage,correlation,average_mean_absolute_distance_results,gini,8,1,4,10
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,gini,3,7,2,10
cancer_invasion,correlation,,gini,2,3,2,20
cancer_stage,correlation,,entropy,5,7,2,20
early_vs_late_stage,correlation,,entropy,8,3,8,20
ptc_vs_mibc,correlation,,entropy,5,7,18,20
cancer_invasion,correlation,average_best_absolute_distance_results,entropy,1,19,2,20
cancer_stage,correlation,average_best_absolute_distance_results,gini,9,1,2,20
early_vs_late_stage,correlation,average_best_absolute_distance_results,gini,9,1,2,20
ptc_vs_mibc,correlation,average_best_absolute_distance_results,entropy,6,1,12,20
cancer_invasion,correlation,average_generation_absolute_distance_results,entropy,1,17,2,20
cancer_stage,correlation,average_generation_absolute_distance_results,gini,5,5,12,20
early_vs_late_stage,correlation,average_generation_absolute_distance_results,entropy,7,1,12,20
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,entropy,1,17,2,20
cancer_invasion,correlation,average_mean_absolute_distance_results,entropy,1,17,2,20
cancer_stage,correlation,average_mean_absolute_distance_results,entropy,6,1,12,20
early_vs_late_stage,correlation,average_mean_absolute_distance_results,entropy,2,15,2,20
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,entropy,6,1,14,20
cancer_invasion,correlation,,gini,2,3,2,30
cancer_stage,correlation,,entropy,5,7,2,30
early_vs_late_stage,correlation,,entropy,8,3,8,30
ptc_vs_mibc,correlation,,entropy,5,7,18,30
cancer_invasion,correlation,average_best_absolute_distance_results,entropy,3,11,2,30
cancer_stage,correlation,average_best_absolute_distance_results,gini,5,1,2,30
early_vs_late_stage,correlation,average_best_absolute_distance_results,entropy,2,11,2,30
ptc_vs_mibc,correlation,average_best_absolute_distance_results,entropy,4,9,2,30
cancer_invasion,correlation,average_generation_absolute_distance_results,entropy,8,3,8,30
cancer_stage,correlation,average_generation_absolute_distance_results,gini,3,1,6,30
early_vs_late_stage,correlation,average_generation_absolute_distance_results,entropy,2,1,2,30
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,entropy,1,15,2,30
cancer_invasion,correlation,average_mean_absolute_distance_results,gini,7,1,6,30
cancer_stage,correlation,average_mean_absolute_distance_results,gini,6,5,2,30
early_vs_late_stage,correlation,average_mean_absolute_distance_results,entropy,2,15,2,30
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,entropy,3,13,2,30
cancer_invasion,correlation,,gini,2,3,2,40
cancer_stage,correlation,,entropy,5,7,2,40
early_vs_late_stage,correlation,,entropy,8,3,8,40
ptc_vs_mibc,correlation,,entropy,5,7,18,40
cancer_invasion,correlation,average_best_absolute_distance_results,entropy,1,19,2,40
cancer_stage,correlation,average_best_absolute_distance_results,gini,4,3,14,40
early_vs_late_stage,correlation,average_best_absolute_distance_results,entropy,3,9,2,40
ptc_vs_mibc,correlation,average_best_absolute_distance_results,entropy,5,5,2,40
cancer_invasion,correlation,average_generation_absolute_distance_results,entropy,1,19,2,40
cancer_stage,correlation,average_generation_absolute_distance_results,gini,8,1,6,40
early_vs_late_stage,correlation,average_generation_absolute_distance_results,gini,5,3,2,40
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,gini,3,7,18,40
cancer_invasion,correlation,average_mean_absolute_distance_results,entropy,1,1,2,40
cancer_stage,correlation,average_mean_absolute_distance_results,gini,7,1,16,40
early_vs_late_stage,correlation,average_mean_absolute_distance_results,entropy,2,13,2,40
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,entropy,3,11,2,40
cancer_invasion,correlation,,gini,2,3,2,50
cancer_stage,correlation,,entropy,5,7,2,50
early_vs_late_stage,correlation,,entropy,8,3,8,50
ptc_vs_mibc,correlation,,entropy,5,7,18,50
cancer_invasion,correlation,average_best_absolute_distance_results,entropy,5,5,18,50
cancer_stage,correlation,average_best_absolute_distance_results,gini,8,1,2,50
early_vs_late_stage,correlation,average_best_absolute_distance_results,gini,2,7,2,50
ptc_vs_mibc,correlation,average_best_absolute_distance_results,entropy,7,5,2,50
cancer_invasion,correlation,average_generation_absolute_distance_results,entropy,8,1,12,50
cancer_stage,correlation,average_generation_absolute_distance_results,entropy,5,3,8,50
early_vs_late_stage,correlation,average_generation_absolute_distance_results,entropy,5,7,2,50
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,entropy,5,5,16,50
cancer_invasion,correlation,average_mean_absolute_distance_results,gini,4,3,8,50
cancer_stage,correlation,average_mean_absolute_distance_results,gini,7,3,2,50
early_vs_late_stage,correlation,average_mean_absolute_distance_results,entropy,2,13,2,50
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,gini,6,3,2,50
cancer_invasion,energy,,entropy,3,11,2,10
cancer_stage,energy,,gini,9,1,2,10
early_vs_late_stage,energy,,entropy,5,5,2,10
ptc_vs_mibc,energy,,entropy,4,11,2,10
cancer_invasion,energy,average_best_absolute_distance_results,entropy,1,1,2,10
cancer_stage,energy,average_best_absolute_distance_results,entropy,7,3,8,10
early_vs_late_stage,energy,average_best_absolute_distance_results,entropy,1,15,2,10
ptc_vs_mibc,energy,average_best_absolute_distance_results,gini,6,1,12,10
cancer_invasion,energy,average_generation_absolute_distance_results,entropy,4,3,16,10
cancer_stage,energy,average_generation_absolute_distance_results,entropy,4,3,2,10
early_vs_late_stage,energy,average_generation_absolute_distance_results,entropy,4,9,2,10
ptc_vs_mibc,energy,average_generation_absolute_distance_results,entropy,8,3,2,10
cancer_invasion,energy,average_mean_absolute_distance_results,entropy,1,1,2,10
cancer_stage,energy,average_mean_absolute_distance_results,gini,5,1,2,10
early_vs_late_stage,energy,average_mean_absolute_distance_results,gini,3,1,14,10
ptc_vs_mibc,energy,average_mean_absolute_distance_results,entropy,3,9,2,10
cancer_invasion,energy,,entropy,3,11,2,20
cancer_stage,energy,,gini,9,1,2,20
early_vs_late_stage,energy,,entropy,5,5,2,20
ptc_vs_mibc,energy,,entropy,4,11,2,20
cancer_invasion,energy,average_best_absolute_distance_results,entropy,6,1,2,20
cancer_stage,energy,average_best_absolute_distance_results,gini,9,1,14,20
early_vs_late_stage,energy,average_best_absolute_distance_results,gini,6,1,8,20
ptc_vs_mibc,energy,average_best_absolute_distance_results,entropy,3,1,4,20
cancer_invasion,energy,average_generation_absolute_distance_results,gini,4,1,6,20
cancer_stage,energy,average_generation_absolute_distance_results,gini,6,1,8,20
early_vs_late_stage,energy,average_generation_absolute_distance_results,entropy,4,7,2,20
ptc_vs_mibc,energy,average_generation_absolute_distance_results,gini,7,1,2,20
cancer_invasion,energy,average_mean_absolute_distance_results,entropy,1,1,2,20
cancer_stage,energy,average_mean_absolute_distance_results,entropy,9,1,2,20
early_vs_late_stage,energy,average_mean_absolute_distance_results,gini,6,3,2,20
ptc_vs_mibc,energy,average_mean_absolute_distance_results,entropy,3,5,2,20
cancer_invasion,energy,,entropy,3,11,2,30
cancer_stage,energy,,gini,9,1,2,30
early_vs_late_stage,energy,,entropy,5,5,2,30
ptc_vs_mibc,energy,,entropy,4,11,2,30
cancer_invasion,energy,average_best_absolute_distance_results,entropy,1,15,2,30
cancer_stage,energy,average_best_absolute_distance_results,entropy,5,1,2,30
